"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","method","metric.goal","metric.name","model_type","parameters.model_types","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"magic-sweep-5","","finished","-","","","2026-04-29T08:06:42.000Z","28","0fqid0ch","","","","lr","","0.7846955397385291","0.6059006956104581","0.5950120675784393","0.5875842155919153","0.7288778877887789","0.7230718450874684","0.6331430263631487","0.5676404494382022","0.6496913580246914"
"sunny-sweep-4","","finished","-","","","2026-04-29T08:06:25.000Z","13","0fqid0ch","","","","dt","","0.7741224649765843","0.6099652375434531","0.6141540336710597","0.583180987202925","0.7222772277227723","0.721366486962262","0.6054593163394071","0.5550400674820751","0.676954732510288"
"lively-sweep-3","","finished","-","","","2026-04-29T08:01:16.000Z","304","0fqid0ch","","","","mlp","","0.7913471017448719","0.6261585993820803","0.6317590691307323","0.6098856209150327","0.7004950495049505","0.7040378479480691","0.644879877058891","0.5221573342493988","0.7818930041152263"
"logical-sweep-2","","finished","-","","","2026-04-29T08:01:04.000Z","10","0fqid0ch","","","","lgb","","0.7955884918635296","0.626193724420191","0.662581328491451","0.6069494584837545","0.7287128712871287","0.7546484761799978","0.6467216811173444","0.5611246943765281","0.7083333333333334"
"gallant-sweep-1","","finished","-","","","2026-04-29T07:59:36.000Z","84","0fqid0ch","","","","rf","","0.7931559491815539","0.6142303969022265","0.7210765188311171","0.5968011458582001","0.736963696369637","0.8072945318516889","0.6447019407657786","0.579981718464351","0.6527777777777778"
