"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","method","metric.goal","metric.name","model_type","parameters.model_types","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"kind-sweep-5","","finished","-","","","2026-04-28T10:43:32.000Z","27","po9tuj9h","","","","lr","","0.8300696204505666","0.704443538524256","0.700310768815025","0.6902726902726902","0.7607260726072608","0.755968753438222","0.7689545186281854","0.7047308319738989","0.7041564792176039"
"sweet-sweep-4","","finished","-","","","2026-04-28T10:43:20.000Z","7","po9tuj9h","","","","dt","","0.8495601937547717","0.7432070417145044","0.7402622321714103","0.718964204112719","0.7785478547854785","0.7765980855979756","0.772205201636078","0.7005772005772006","0.7913610431947841"
"eager-sweep-3","","finished","-","","","2026-04-28T10:40:12.000Z","184","po9tuj9h","","","","mlp","","0.878360389118742","0.7602846727998611","0.7662800045940048","0.744717700034638","0.7721122112211221","0.7761029816261414","0.820296890293858","0.6622316298760206","0.8924205378973105"
"pretty-sweep-2","","finished","-","","","2026-04-28T10:40:00.000Z","10","po9tuj9h","","","","lgb","","0.8813844172598329","0.7631528232800154","0.782993459022701","0.7473295785589434","0.7971947194719472","0.813840906590384","0.8316423004408628","0.7239488117001828","0.8068459657701712"
"stellar-sweep-1","","finished","-","","","2026-04-28T10:38:34.000Z","82","po9tuj9h","","","","rf","","0.8657038821017764","0.7461508093170154","0.813738959764475","0.7246031746031746","0.7877887788778878","0.843382110243151","0.810114869416118","0.723583460949464","0.7701711491442543"
