CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised,UndisclosedAmountShare,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,HQCountry,PrimaryIndustrySector,SimilarityScoreMean,N_Competitors,Same_Country,Highest_Degree_CEO,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute
36819,0,2015,8,1,0.0,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,-0.4424493740963017,2,0,0,0,2.01046308,0,0,1,0,0,0,0,0,0,0,Germany,Information Technology,96.23499999999999,0,0,,0,139.0,-0.44244937409630164,0,2,0,0,1,,,0
36824,0,2017,6,2,1.8,0.14285714285714285,0.0,1,0,0,0,0,0,0,1,-0.06758596561176204,2,0,0,0,5.968,0,1,1,0,0,0,0,0,0,0,Germany,Information Technology,91.334,0,0,4,0,56.6,0.21200283729396438,0,3,0,1,5,3.5714285714285716,2005.7142857142858,0
36825,1,2016,7,2,0.53240409,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,-0.4424493740963017,1,0,0,0,3.0697394325,0,0,1,0,0,0,0,0,0,0,France,Information Technology,96.196,0,0,,0,433.25,-0.44244937409630164,0,1,0,1,4,,,0
36828,1,2011,9,6,3.29398186,0.0,0.0,1,0,0,0,0,0,0,0,-0.24486670791307927,2,0,0,0,1.036696605,0,1,0,0,0,0,0,0,0,0,France,Consumer Products and Services (B2C),87.975,0,0,4,0,136.0,-0.04728404172985682,1,2,0,1,2,4.0,2011.5,0
36829,0,2017,4,6,1.9919988100000001,0.4,0.0,0,0,0,0,0,0,0,0,-0.04728404172985682,1,0,0,1,1.314702585,0,0,1,0,0,0,0,0,0,0,France,Consumer Products and Services (B2C),86.59400000000001,0,0,3,0,137.0,-0.04728404172985682,0,1,0,1,2,3.0,,0
36833,0,2015,9,3,3.19827015,0.0,50.0,1,1,0,1,0,0,0,0,-0.4424493740963017,2,0,0,1,2.2097609,0,0,0,0,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),83.854,0,0,,0,3.0,-0.44244937409630164,1,6,0,0,1,4.222222222222222,1998.6666666666667,0
36839,1,2015,8,5,6.2627443000000005,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,-0.24486670791307924,2,0,0,0,7.2299999999999995,1,0,0,0,0,0,0,0,1,0,France,Information Technology,99.85600000000001,10,0,,0,134.66666666666666,-0.04728404172985682,0,2,0,1,3,,,0
36847,1,2016,3,1,0.0,0.25,0.0,0,0,0,0,0,0,0,0,-0.44244937409630164,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,Germany,Consumer Products and Services (B2C),88.87100000000001,0,0,,0,2.0,-0.44244937409630164,1,1,0,0,1,,,0
36861,0,2016,2,2,2.86393775,0.5,0.0,0,0,0,0,0,0,0,0,0.16726544013377406,3,0,0,0,12.251968875,0,1,0,0,0,0,0,0,0,0,Belgium,Information Technology,93.672,0,0,,0,15.0,-0.44244937409630164,0,4,0,0,2,3.0,,0
36876,1,2010,5,1,0.0,0.16666666666666666,0.0,0,1,1,0,0,0,0,0,-0.22830838809679513,5,0,1,0,,0,0,0,0,0,0,0,0,0,0,Netherlands,Information Technology,90.59400000000001,2,0,,0,,0.23309022353478612,0,5,0,0,0,4.0,1996.0,0
36881,1,2014,5,1,0.0,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,-0.25781769540501875,1,0,0,0,1.70626015,0,0,0,0,0,0,0,0,0,0,Sweden,Information Technology,92.95599999999999,0,0,4,0,42.0,-0.04728404172985682,0,3,0,1,1,,,0
36886,1,2016,8,7,16.777209300000003,0.05555555555555555,12.5,1,1,1,0,0,0,0,0,1.1642903569023717,2,0,0,0,10.965453863,0,1,1,1,0,0,1,0,0,0,United Kingdom,Materials and Resources,93.757,0,0,5,0,268.43333333333334,-0.44244937409630164,0,8,0,1,10,4.844444444444445,1992.2518518518518,1
36887,1,2015,5,4,1.7092945400000001,0.0,0.0,0,0,0,0,0,0,0,0,0.31228898993977916,1,0,0,1,0.10553004,0,0,1,0,0,0,0,0,0,0,United Kingdom,Consumer Products and Services (B2C),85.804,0,0,4,0,973.0,0.31228898993977916,0,1,0,0,1,4.0,2012.0,1
36889,1,2016,8,7,4.84891395,0.2222222222222222,50.0,0,1,0,0,0,0,0,0,-0.4424493740963017,3,0,0,0,1.277303612222222,1,0,1,1,0,0,1,0,0,0,Netherlands,Healthcare,89.579,0,0,5,1,151.44444444444446,-0.44244937409630164,0,4,1,0,9,5.0,,0
