CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
31770,0,2014,0,1,0.0,50.0,1,0,0,0,1,0,0,0,-0.403355023220701,2,0,0,0,1.118796,1,0,0,0,0,0,0,0,0,0,94.23,0,0,0,261.0,-0.403355023220701,0,2,0,0,1,3.0,2003.0,0,4763,5617
31771,1,2016,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.328431180412441,3,0,0,0,0.01680209,1,0,0,0,0,0,0,1,0,0,88.15,0,0,0,33.0,-0.403355023220701,0,5,0,0,1,,,0,2141,5617
31777,1,2014,0,1,0.0,14.2857142857143,1,1,1,0,0,1,0,0,0.403681843213684,4,0,0,0,0.01,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,106.0,-0.0287358091793985,0,7,0,0,1,4.5,1990.0,1,1860,3652
31778,0,2017,0,2,0.393144254158045,40.0,0,0,0,0,0,0,0,0,-0.452676924492674,2,0,0,0,1.195,0,0,1,1,0,0,0,0,0,0,95.13,0,0,0,95.0,-0.403355023220701,0,5,0,0,2,5.0,,0,1860,13689
31780,1,2017,0,1,0.393144254158045,15.3846153846154,1,1,1,0,0,0,0,0,-0.0384030076366557,2,0,0,0,0.64,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,150.0,-0.0287358091793985,0,13,0,0,1,4.16666666666667,1998.33333333333,0,1860,13689
31781,1,2012,1,2,0.06461794,0.0,1,1,1,0,0,0,0,0,-0.0127548539100532,3,0,0,0,0.08230897,0,1,0,1,0,0,0,0,0,0,92.77,0,0,0,265.0,0.811631103485564,0,5,1,0,2,4.6,1994.0,1,1860,586
31788,0,2016,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.03984951,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,43.0,-0.403355023220701,0,1,0,0,1,,,0,3209,13689
31790,1,2013,0,1,0.23485131,5.26315789473684,1,1,0,0,1,0,1,1,0.164385557550493,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,95.29,1,0,0,,,1,19,0,0,0,3.38461538461538,1988.33333333333,1,6904,586
31796,0,2010,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.221657270317865,2,0,0,0,,1,0,0,0,0,0,0,0,0,0,91.62,0,0,0,14.0,-0.0399595174150297,0,2,0,1,1,,,0,6606,7819
31797,0,2014,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.0,-0.403355023220701,0,1,0,1,1,,,0,6606,7819
31800,0,2010,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.0,-0.403355023220701,0,1,0,1,1,,,0,6606,7819
31804,0,2014,2,1,0.34014402,0.0,0,1,0,0,0,0,0,0,-0.403355023220701,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,-0.403355023220701,0,3,0,0,0,3.0,1997.0,0,4763,13689
31805,0,2017,0,3,0.12793547,16.6666666666667,1,0,0,0,0,0,0,0,-0.339350169379983,3,0,0,0,0.49,1,0,0,0,0,0,0,0,0,0,93.92,0,0,0,91.5,-0.0287358091793985,0,6,0,0,2,4.0,,0,4763,3652
31809,1,2014,1,1,0.0762949,16.6666666666667,0,0,0,0,0,0,0,0,-0.485558192007323,1,0,0,0,0.235,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,75.0,-0.403355023220701,1,6,0,0,2,,,0,6904,7819
31817,0,2017,0,1,0.01578297,25.0,0,1,0,0,0,0,0,1,-0.277697792790016,2,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,95.7325,2,0,0,743.0,,0,4,0,0,1,5.0,,0,6606,13689
31818,0,2013,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.41137422,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,131.0,-0.403355023220701,0,1,0,0,1,,,0,6606,13689
31820,0,2017,0,3,0.02638012,50.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.258391025,1,0,0,0,0,0,0,1,0,0,0.0,0,0,1,177.5,-0.403355023220701,0,2,1,0,2,,,0,6904,7819
31821,0,2011,2,1,0.0,0.0,1,1,0,0,0,0,1,0,-0.320106308989301,1,0,0,0,0.06,1,0,0,0,0,0,0,0,0,0,90.76,0,0,0,56.0,-0.403355023220701,0,9,0,0,1,4.28571428571429,,1,1580,5617
31822,1,2016,1,4,1.75936898,0.0,0,0,0,0,0,0,0,0,0.16544209017709,0,0,0,0,1.03221821222222,0,0,1,1,0,0,0,0,0,0,86.93,0,0,0,2963.88888888889,0.553797888890067,1,3,1,1,5,,,0,6904,13689
31829,1,2017,0,1,0.0,55.5555555555556,0,1,1,0,0,0,0,1,-0.51295924826953,4,0,0,0,0.15731762,1,0,0,0,0,0,0,0,0,0,83.535,0,0,1,2.0,-0.403355023220701,0,9,0,0,1,4.25,,0,1082,7819
31841,1,2016,0,1,0.613240104959325,0.0,1,0,0,0,0,0,0,0,-0.221657270317865,2,0,0,0,1.47610247,0,0,1,0,0,0,0,0,0,0,98.11,5,1,0,64.0,-0.0399595174150297,0,6,0,0,1,4.0,,0,2141,7819
31844,1,2016,1,1,0.05905935,0.0,1,0,0,0,0,1,0,0,-0.137373257224861,3,0,0,0,0.64,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,3029.0,-0.403355023220701,0,7,0,0,1,3.66666666666667,1999.66666666667,0,6606,5617
31845,1,2011,2,2,1.59946237,12.5,1,0,0,0,0,0,1,0,0.53652409400318,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,91.18,0,0,0,,,1,8,0,0,0,2.5,1973.0,1,6904,13689
31847,0,2017,0,2,0.0,12.5,1,0,0,1,0,0,0,0,-0.26567874501412,4,0,0,0,0.363490885,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,167.0,-0.0399595174150297,0,8,0,0,2,3.66666666666667,2005.0,0,4763,13689
31858,1,2017,0,1,0.0,42.8571428571429,0,1,1,0,0,1,0,1,-0.100539940854076,4,0,0,0,,1,0,0,0,0,0,0,0,0,0,99.76,1,0,1,22.0,-0.0287358091793985,0,7,0,0,1,4.16666666666667,1993.75,1,6904,3652
31863,0,2017,0,1,0.0,28.5714285714286,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,231.0,-0.403355023220701,0,7,0,0,1,,,0,2141,7819
31864,0,2012,0,1,0.0,100.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.04,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,231.0,-0.403355023220701,0,1,0,0,1,,,0,2141,7819
31866,0,2016,0,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,2,0,0,0,0.04,1,0,0,0,0,0,0,0,0,0,90.98,0,0,0,231.0,-0.403355023220701,0,2,0,0,1,,,0,2141,13689
31867,0,2017,0,1,0.03360667,11.1111111111111,1,0,0,0,0,0,0,0,-0.344182000975874,2,0,0,0,0.03,1,0,0,0,0,0,0,0,0,0,91.85666666666667,0,0,0,8.0,-0.403355023220701,0,9,0,0,1,4.0,2005.0,1,2141,7819
31873,0,2017,0,1,1.86498010698024,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.898057,0,0,1,0,0,0,0,0,0,0,91.72,0,0,0,154.0,-0.403355023220701,0,1,0,0,1,,,0,2141,7819
31874,0,2015,2,1,0.70544747,0.0,1,1,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,94.23,0,0,0,,-0.403355023220701,1,4,0,0,0,4.0,2010.0,0,2141,13689
31875,1,2016,1,1,1.0,20.0,1,0,1,0,1,0,0,0,-0.452676924492674,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,92.42,0,0,0,,,1,5,0,0,0,3.75,2013.0,0,1033,13689
31877,1,2014,2,1,0.11299737,0.0,0,0,0,1,0,0,0,0,-0.349837992643372,4,0,0,0,0.53481397,0,1,0,0,0,0,0,0,0,0,88.8,0,0,0,3.0,-0.0287358091793985,1,7,0,0,1,4.0,2009.0,0,4763,13689
31878,1,2015,1,1,0.12501298,0.0,1,0,0,0,0,0,0,0,0.215679656139509,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,90.00666666666666,0,0,0,,-0.403355023220701,1,4,0,0,0,4.0,,1,2141,7819
31879,0,2014,0,2,0.00313638,0.0,0,0,0,0,0,0,0,0,-0.0511668233954043,1,0,0,0,127.39,1,1,0,0,0,0,0,0,0,0,88.0,0,0,0,34.5,-0.403355023220701,0,3,1,0,2,,,0,2141,7819
