CompanyID,Target,YearFounded,Age,N_Deal,TotalRaised_Est,Percent_Females,Is_Eco,Is_Eng,Is_NS,Is_Hum,Is_SS,Is_Med,Is_Law,Is_IT,WorkExp_Idx_Mean,Total_Founders,Is_Debt,Is_SpinOff,Is_CrowdFunding,MeanMedianRoundAmount_cum,Is_Accelerator,has_Corporate,has_VentureCapital,has_PublicInvestor,has_Angel_Lead,has_Corporate_Lead,has_VentureCapital_Lead,has_Accelerator_Lead,has_PrivateEquity_Lead,has_PublicInvestor_Lead,SimilarityScoreMean,N_Competitors,Same_Country,Gender_CEO_Female,MeanTotalInvestments_cum,WorkExperienceIndex_CEO,Is_Angel,Total_People,Is_Grant,has_PrivateEquity,TotalInvestors,Highest_Degree_Mean,Avg_Earliest_Year,HasTop50Institute,HQCountryFreq,PrimaryIndustrySectorFreq
115435,1,2012,12,10,20.68559934129767,20.0,1,1,1,0,0,1,1,1,0.16135646690711838,4,0,0,0,35.5562303758333,1,1,1,1,0,0,0,0,0,0,93.88333333333333,0,0,0,186.916666666667,-0.0287358091793985,1,10,1,1,12,4.256898656898653,1985.0,0,1772,3504
115436,1,2011,13,3,0.0,0.0,0,0,0,0,0,0,0,0,-0.26057746259540154,1,0,0,0,0.726234215,1,0,0,0,0,0,0,1,0,0,87.77666666666666,0,0,0,542.5,-0.403355023220701,0,1,0,0,2,4.0,2005.0833333333337,0,1772,640
115442,0,2012,9,1,0.0,0.0,0,0,0,0,0,0,0,0,-0.40335502322070094,3,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,96.255,0,0,0,453.0,-0.403355023220701,0,3,0,0,1,,,0,1772,7023
115443,0,2009,7,1,0.0,33.3333333333333,0,0,0,0,0,0,0,0,-0.282223187952144,3,0,0,0,0.05,1,0,0,0,0,0,0,0,0,0,86.38,0,0,0,453.0,-0.0399595174150297,0,3,0,0,1,,,0,1772,12898
115447,1,2013,11,3,0.15825692,0.0,0,0,0,0,0,0,0,0,-0.40523806396798556,1,0,0,0,0.32776715,0,0,1,0,0,0,0,0,0,0,90.03,0,0,0,495.5,-0.0287358091793985,0,2,0,0,2,,,0,6296,12898
115450,0,2011,6,2,0.20864757,100.0,0,0,0,0,0,0,0,0,-0.40335502322070094,2,0,0,0,0.32776715,0,0,1,0,0,0,1,0,0,0,0.0,0,0,1,495.5,-0.403355023220701,1,2,0,0,2,,,0,6296,7023
115453,0,2013,3,1,0.173034562568384,0.0,0,0,0,0,0,0,0,0,-0.403355023220701,1,0,0,0,0.32776715,0,0,1,0,0,0,1,0,0,0,0.0,0,0,0,495.5,-0.403355023220701,0,1,0,0,2,,,0,6296,7023
115454,1,2013,11,2,0.07029269,0.0,0,0,0,0,0,0,0,0,-0.40335502322070094,1,0,0,0,0.31650256,0,0,1,0,0,0,0,0,0,0,94.82666666666667,0,0,0,862.0,-0.403355023220701,0,1,0,0,1,,,0,6296,12898
115455,1,2012,7,4,13.04400292,0.0,1,0,1,1,0,0,0,0,-0.03917124231902367,2,0,0,0,10.8042857142857,0,1,1,0,0,1,1,0,0,0,98.4,1,0,0,47.8571428571429,0.289814070449518,1,5,1,1,7,3.2124999999999995,2004.0416666666674,0,1467,12898
115457,0,2013,4,1,0.0,0.0,1,1,0,0,0,0,0,0,-0.403355023220701,0,0,0,0,0.1,1,0,0,0,0,0,0,1,0,0,90.57,0,0,0,228.0,-0.403355023220701,0,1,0,0,1,4.0,2006.0,0,7928,12898
