"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"smart-sweep-67","finished","-","","","2026-04-08T10:17:57.000Z","26","fh2yb7mv","256","0.4","0.3","entropy","5","4","8","512,256,128","0.05445829198282756","3","50","2.353311564786557","l2","","","","10","0.00734432175285638","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.011960684668564895","2.1203297406822483","5","10","200","0.6","0.008560913088027864","0.8058759953128811","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690435569857676","0.5936911487758946","0.6486625514403292"
"copper-sweep-70","finished","-","","","2026-04-08T10:19:42.000Z","21","fh2yb7mv","128","1","0.5","entropy","5","3","19","512,256,128","0.2154323121805937","5","50","2.0784496966111035","l2","","","","20","0.008465321657633156","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03057472612229781","4.594654055875477","3","5","100","0.6","0.00023790172108517432","0.8058758703363769","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690440104326034","0.5936911487758946","0.6486625514403292"
"glamorous-sweep-66","finished","-","","","2026-04-08T10:17:20.000Z","33","fh2yb7mv","512","0.4","0.5","entropy","15","4","17","256,128","0.012306166483695192","5","50","2.4059944827848567","l2","","","","5","0.007279945942706792","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03451291383009187","5.711204027116684","3","9","300","0.6","0.0002911796958509394","0.8058758703363768","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690424907717585","0.5936911487758946","0.6486625514403292"
"stellar-sweep-12","finished","-","","","2026-04-08T09:46:00.000Z","36","fh2yb7mv","256","1","0.1","gini","7","6","14","512,256,128","0.17640975187421817","3","50","3.31482809753883","l2","","","","5","0.004690439624960346","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025098615027272952","1.652091043725978","3","7","200","0.6","0.007428477650516006","0.8058757453598725","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690527825981689","0.5936911487758946","0.6486625514403292"
"serene-sweep-16","finished","-","","","2026-04-08T09:48:20.000Z","32","fh2yb7mv","512","1","0.3","entropy","3","2","17","256,128","0.05503004403331001","3","50","3.261750589312547","l2","","","","20","0.0015237094044206494","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010781163142942904","1.6946924151628322","7","5","300","0.4","0.00772485124707826","0.8058757453598725","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690530088115271","0.5936911487758946","0.6486625514403292"
"ancient-sweep-59","finished","-","","","2026-04-08T10:12:03.000Z","38","fh2yb7mv","512","0.6","0.5","entropy","15","2","4","256,128","0.08565010306760887","7","50","1.1733924565585054","l2","","","","5","0.005459055055238327","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4296718643678258","1.82744355276527","7","4","200","1","0.00003830024534526991","0.8058757453598723","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690472591894578","0.5936911487758946","0.6486625514403292"
"clean-sweep-7","finished","-","","","2026-04-08T09:42:57.000Z","29","fh2yb7mv","128","0.4","0.5","entropy","10","9","19","256,128","0.22984324419138327","7","50","3.2514629924368372","l2","","","","5","0.00695322439758195","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025703811539774503","6.859562839439335","3","9","50","0.8","0.002360226484953396","0.8058756203833681","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.669039369330295","0.5936911487758946","0.6486625514403292"
"desert-sweep-46","finished","-","","","2026-04-08T10:04:24.000Z","26","fh2yb7mv","512","0.4","0.2","gini","5","5","14","256,128","0.16707486161699625","10","300","3.01590757911066","l2","","","","5","0.007911149858331454","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01972620235583528","1.756252102666676","3","7","300","0.6","0.0004174998703643423","0.805875620383368","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690404761222726","0.5936911487758946","0.6486625514403292"
"confused-sweep-40","finished","-","","","2026-04-08T10:01:08.000Z","28","fh2yb7mv","128","0.6","0.1","entropy","10","3","19","512,256,128","0.08924840320424854","3","50","1.431154095222429","l2","","","","10","0.009793779785284036","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03443559940078749","6.217315839963255","3","8","200","0.8","0.00012741284454582138","0.8058753704303592","0.619960668633235","0.6203007518796992","0.6110019646365422","0.7448844884488449","0.7444163274287601","0.6690461449536796","0.5936911487758946","0.6486625514403292"
"legendary-sweep-1","finished","-","","","2026-04-08T09:39:49.000Z","24","fh2yb7mv","256","0.8","0.2","gini","5","9","2","128,64","0.021625014591593945","10","300","0.0020831459929679707","l1","","","","20","0.00010583727929221236","lr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.995217894032624","5.4326926152338295","15","6","100","0.8","0.00021487371845515225","0.7999974754746108","0.6182767624020887","0.6061238691718859","0.5893694632621157","0.7587458745874588","0.7509076906150292","0.6647551953730785","0.6277836691410392","0.6090534979423868"
