"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"polished-sweep-46","","finished","-","","","2026-04-08T10:54:20.000Z","12","91hwhh07","256","1","0.1","gini","7","8","5","128,64","0.02980823303111667","15","200","0.28638189542782255","l2","","","","5","0.002403044346841992","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.045060234098272","2.1051390339410205","5","7","200","0.6","0.0003598408217005589","0.8138278753594324","0.6396334478808705","0.6937342593299245","0.6363222576240327","0.7404290429042905","0.779238640114424","0.6785082444370557","0.5766212308963239","0.7181069958847737"
"avid-sweep-15","","finished","-","","","2026-04-08T10:47:22.000Z","7","91hwhh07","128","1","0.2","entropy","3","7","13","512,256,128","0.02058626788754743","10","300","0.009544394721829958","l1","","","","5","0.0010259756410382994","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3565325893237936","3.041384048061168","3","7","200","0.6","0.00008803002175394151","0.8137763850396125","0.6418219461697723","0.6946757314185318","0.6325878594249201","0.7430693069306931","0.7801188249532401","0.6791010254477798","0.5805243445692884","0.7175925925925926"
"daily-sweep-65","","finished","-","","","2026-04-08T10:59:08.000Z","6","91hwhh07","512","1","0.2","gini","3","7","19","256,128,64","0.018718851385364044","15","300","0.03336877215900169","l2","","","","10","0.001099442166022392","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07501046536286263","5.683568111491229","7","3","200","0.8","0.00001284174658029319","0.8136805280607246","0.6414315209910529","0.6912302070645554","0.6363843871262269","0.7420792079207921","0.7768731433601056","0.6781412043966528","0.5788819875776398","0.7191358024691358"
"trim-sweep-25","","finished","-","","","2026-04-08T10:49:43.000Z","11","91hwhh07","256","0.6","0.5","entropy","3","7","15","512,256,128","0.010654642652303196","5","200","0.0416485715832405","l1","","","","5","0.0002932043296523215","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.048346496471965754","4.770837567978733","3","2","300","0.6","0.0013285090665201811","0.8136684053397961","0.6387002909796314","0.6501284521515736","0.6187977099236641","0.7541254125412541","0.7602596545274508","0.6778939496639365","0.6041284403669724","0.6774691358024691"
"wild-sweep-57","","finished","-","","","2026-04-08T10:57:14.000Z","6","91hwhh07","512","1","0.4","gini","7","10","4","256,128","0.014109389694492705","15","300","0.003866173041195916","l2","","","","5","0.0004380552084013436","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.636662023684112","1.0074773410359283","7","7","200","1","0.00006271651236042","0.8136127907953306","0.6395962376691902","0.6761511396665137","0.6318430656934306","0.7407590759075907","0.7670810870282759","0.6778312228630479","0.5772256728778468","0.7170781893004116"
"good-sweep-60","","finished","-","","","2026-04-08T10:58:00.000Z","11","91hwhh07","128","1","0.4","gini","5","3","9","512,256,128","0.017596914170208235","10","300","0.00966778981314745","l2","","","","5","0.0006861603731096335","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03768827326773564","3.182710818461222","10","4","200","1","0.000018453729830911524","0.8135779223505981","0.6420206659012629","0.6897077897306783","0.6312186216339571","0.7427392739273927","0.7762680162834196","0.6791510509407724","0.5798423890501866","0.7191358024691358"
"giddy-sweep-4","","finished","-","","","2026-04-08T10:44:44.000Z","13","91hwhh07","128","0.8","0.4","gini","3","10","18","128,64","0.01077156883024749","7","300","0.013426656809579003","l1","","","","5","0.00016782176032831348","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5222484125609617","6.841613508762265","5","3","300","0.6","0.000259697558837307","0.813576422632545","0.6373575250058153","0.6682166937921413","0.6327891469303288","0.7427392739273927","0.7644955440642535","0.6777785368624684","0.5817409766454352","0.7047325102880658"
"denim-sweep-40","","finished","-","","","2026-04-08T10:53:11.000Z","7","91hwhh07","128","1","0.1","gini","5","9","16","256,128","0.015095886956155677","10","300","0.00477439317162115","l1","","","","10","0.0006835763640825319","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8455029928225393","2.5548676304431925","10","9","200","1","0.00003117607985832355","0.8134703175802949","0.6423992673992674","0.6825396825396826","0.6326577089501253","0.7422442244224422","0.7711519419078007","0.677891746296555","0.5787953795379538","0.7217078189300411"
"prime-sweep-59","","finished","-","","","2026-04-08T10:57:42.000Z","12","91hwhh07","128","1","0.1","entropy","5","6","15","512,256,128","0.043226096937994986","15","300","0.07502375282200817","l1","","","","5","0.0019252082907746792","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9534304047262336","4.52729047875001","7","10","300","1","0.00016473907064175073","0.8134431976788363","0.6391848077813803","0.7338628827022442","0.6315547378104875","0.7429042904290429","0.8101551325778413","0.6762671161456514","0.5812973883740522","0.7098765432098766"
"mild-sweep-30","","finished","-","","","2026-04-08T10:50:56.000Z","7","91hwhh07","256","1","0.2","gini","7","10","17","256,128,64","0.015391242221826954","10","300","0.19672744143906495","l2","","","","5","0.0005942769070411864","lgb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.016376204048516883","3.3818742762402163","3","8","100","0.8","0.0004846673743807049","0.8134354491355625","0.6422689844464776","0.6845001528584531","0.6346678798908099","0.7419141914191419","0.7729123115854329","0.678360318737788","0.5782537067545305","0.7222222222222222"
